anime;anime_img;episodes;rate
Web Ghosts PiPoPa;https://img1.ak.crunchyroll.com/i/spire4/2d68574ae56ea5f475edbd18607aab1c1279148282_full.jpg;0;459
My Teen Romantic Comedy SNAFU;https://img1.ak.crunchyroll.com/i/spire2/320673efcacdbdb0d6222156f8d797ce1504216291_full.jpg;0;465
Fate/stay night [Unlimited Blade Works];https://img1.ak.crunchyroll.com/i/spire2/fd6f801d77097e20eb5ffb9232de14d01430173031_full.jpg;26;451
Magi;https://img1.ak.crunchyroll.com/i/spire1/b699c3de88d10a8fe9e62febcae5a3731349386143_full.jpg;25;469
Classroom of the Elite;https://img1.ak.crunchyroll.com/i/spire3/3f44a6efc0ab35d49cfa1a9344f7f8841499831762_full.jpg;12;447
TERRAFORMARS;https://img1.ak.crunchyroll.com/i/spire4/016bf790d8da3bc62597f79c7141be391459210713_full.jpg;39;331
Nisekoi;https://img1.ak.crunchyroll.com/i/spire1/0cf2bb1d8613e37f7b8913b0cc85065b1389123747_full.jpg;33;428
Cat God;https://img1.ak.crunchyroll.com/i/spire3/96ca06764b3a96bdf508ffa8e832d1781309977235_full.jpg;0;44
Poyopoyo;https://img1.ak.crunchyroll.com/i/spire2/b2ecad9b4e66b71ade0a11e357f6d9c71326174184_full.jpg;52;476
MONSTER MUSUME EVERYDAY LIFE WITH MONSTER GIRLS;https://img1.ak.crunchyroll.com/i/spire4/6fc4e475a391d3f1293c123c650ce5571441402678_full.jpg;12;439
Ramen Fighter Miki;https://img1.ak.crunchyroll.com/i/spire3/a314f89efc41a04d7d20813c98b77f211279148268_full.jpg;0;46
